"Language family","Language","Source and person entering data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Bora (T98)",,"néébaá",,,,,,,,,,,"iñe (+clas, e.g. íñehe (aguaje tree); íñehe (aguaje fruit))","tóómeé + clas, e.g. tóómehe (un almendro), tóómeu (fruit)",,,,,,,,,,,,"mújcuri- +clas",,,,,,,,"nɨjɨ",,,"tóllií + clas, e.g. tóóllíuu (fruit), tóóllíujɨ (tree)",,"cuni- (+clas); cúnijkye is the plant and cúniíu is the tuber","cuni- (+clas); cúnijkye is the plant and cúniíu is the tuber",,"ujɨ (+ clas, e.g. újɨhe (plant), újɨho (mazorca), újɨu (kernel))","baajúri (+ clas)","pácyoómu (+ clas)",,,,"ajɨ (caraná, probably Mauritia carana, used for thatch; +clas, e.g. ájɨhííba (plant); ájɨjúúho (leaf), ájɨjɨ (a woven panel))",,,,,"culli- +class; cúllihíícyo (one plant), -hiícyo is used for plants like pineapple",,,,,,,,,"cáátuú- +clas (camote, batata); cáátuu (tuber), cátujcááha (plant, -jcaáha is used for plants like camote and squash)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Bora boa (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","néépapa",,"néépʰáxʸï-xɨ",,,"ïxɨ, ḯxɨʔo",,,"toótʰo, tóótʰo-ï",,,,,,,,,,"íípií","aʔti",,,,,,,,"népaxkʰe",,,,,,,"meéme, méémé-ʔečííʔyo {fruit}",,,,,,"ïxɨ {kernel}, ḯxɨ-ï {ear}, ḯxɨ-ʔo {plant}, ïxɨ-ʔe","paaxḯri-, pʰɨ́ɨ́kʰa","pʰákʰʸoómï",,"koʔkóxɨ",,,,,,,,,,,,"tɨɨ́, tɨ́ɨ́-ʔoï {fruit}",,,,"kʰáátʰïï",,"panʸe",,,,,,,"kʰïni, kʰḯnií-ï",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Bora boa (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","néépapa",,"néépʰáxʸɯ-xɨ",,,"ɯxɨ, ɯ́xɨʔo",,,"toótʰo, tóótʰo-ɯ",,,,,,,,,,"íípií","aʔti",,,,,,,,"népaxkʰe",,,,,,,"meéme, méémé-ʔetʃííʔjo {fruit}",,,,,,"ɯxɨ {kernel}, ɯ́xɨ-ɯ {ear}, ɯ́xɨ-ʔo {plant}, ɯxɨ-ʔe","paaxɯ́ri-, pʰɨ́ɨ́kʰa","pʰákʰʲoómɯ",,"koʔkóxɨ",,,,,,,,,,,,"tɨɨ́, tɨ́ɨ́-ʔoɯ {fruit}",,,,"kʰáátʰɯɯ",,"panʲe",,,,,,,"kʰɯni, kʰɯ́nií-ɯ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Muinane bmr (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nóobaba",,"búi-ga",,,"ɨ́xe-(ba)",,,"xááxe, xáʔaxe, dúutuʔu",,,,,,,,,,"xííbi-(ʔo)","xáʔadi",,,,,,,,"bákotamɨ",,,,,,,"móomo",,,,,,"béǰa {borr. From Huitoto?}","not given","ɸéekka, xáara",,,,,,,,,,,,,,"déé-ʔuɨ {fruit}, déé-giixɨ {chili-powder}, déé-xeʔe {plant}",,,,"ǰírúúmɨba",,"báño {pl.}",,,,,,,"kɨ́ni-rumi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Muinane bmr (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nóobaba",,"búi-ga",,,"ɨ́xe-(ba)",,,"xááxe, xáʔaxe, dúutuʔu",,,,,,,,,,"xííbi-(ʔo)","xáʔadi",,,,,,,,"bákotamɨ",,,,,,,"móomo",,,,,,"bédʒa {borr. From Huitoto?}","not given","ɸéekka, xáara",,,,,,,,,,,,,,"déé-ʔuɨ {fruit}, déé-giixɨ {chili-powder}, déé-xeʔe {plant}",,,,"dʒírúúmɨba",,"báño {pl.}",,,,,,,"kɨ́ni-rumi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Ocaina oca (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","ñon̵ṍṍya",,"ɸookan̵ḯḯʔtʸa",,,"hïxaaro",,,"mon̈áánfu, toonhfu",,,,,,,,,,"hiibiro","ɸĩ́ãã, ɸĩ́ããha",,,,,,,,"õn̵ããʔõ",,,,,,,"hamiiñ̵a",,,,,,"xóɸiiro",,"bóójin","úúro",,,,,,,,,,,,,"haʔɸíí-ʔoβï {fruit}, haʔɸíí-ǰa {plant}",,"mon̈áánfu, toonhfu",,"botʸootʸo",,"tʸoʔooko",,,,,,,"aʔxaaʔti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Ocaina oca (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","ñon̵ṍṍja",,"ɸookan̵ɯ́ɯ́ʔtʲa",,,"hɯxaaro",,,"mon̵áánfu, toonhfu",,,,,,,,,,"hiibiro","ɸĩ́ãã, ɸĩ́ããha",,,,,,,,"õn̵ããʔõ",,,,,,,"hamiiñ̵a",,,,,,"xóɸiiro",,"bóóhin","úúro",,,,,,,,,,,,,"haʔɸíí-ʔoβɯ {fruit}, haʔɸíí-dʒa {plant}",,"mon̵áánfu, toonhfu",,"botʲootʲo",,"tʲoʔooko",,,,,,,"aʔxaaʔti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Ocaina (oca) orthographic (Leach)","Leach, Ilo M. 1969. Vocabulario ocaina. ILV-SLP 4. http://www.sil.org/americas/peru/html/pubs/show_work.asp?id=559 (entered by Leslie Smith)",,"juvocára",,"nom̈úúro {tree}","juxaaro {plantain}",,"poróótyo","mááhcha, mááhfi",,"jofááya {tree}",,"xonuuñ̈a",,,"ñaamúra","añááro {tree}",,"dyahóófe",,,,,,,"onmán",,,,,,"obaanco","fóóbiro, ñixóónco","ñixóónco, ñiico, fóóbiro",,,"ñijííntya",,"ahxashti","ahxashti","gourátyofo",,"oxóóm̵a(tsííra) {tuber}, hõʔtáái {bitter, plant} maahĩ {broth}",,,"tsiixo, úvaaja",,"ayííviro",,"tyoroodyo","jamiin̈a","dyudsoon","dyahsoonco",,,,,,,,,,"jáám̈ira",,,,"ahítyo",,,"cováátso, (tree: covááya)",,"tuvóólla, tuvóódyo","toxooya",,"judsóón",,"tyafúúdyo",,"jáám̈ira",,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Ocaina (oca) phonemic (Leach)","Leach, Ilo M. 1969. Vocabulario ocaina. ILV-SLP 4. http://www.sil.org/americas/peru/html/pubs/show_work.asp?id=559 (entered by Leslie Smith)",,"huvokára",,"nom̵úúro {tree}","huxaaro {plantain}",,"poróótʸo","mááhtʃa, mááhfi",,"hofáája {tree}",,"xonuuɲ̵a",,,"ɲaamúra","aɲááro {tree}",,"dʲahóófe",,,,,,,"onmán",,,,,,"obaanko","fóóbiro, ɲixóónko","ɲixóónko, ɲiiko, fóóbiro",,,"ɲihííntʲa",,"ahxaʃti","ahxaʃti","gourátʲofo",,"oxóóm̵a(tsííra) {tuber}, hõʔtáái {bitter, plant} maahĩ {broth}",,,"tsiixo, úvaaha",,"ajííviro",,"tʲoroodʲo","jamiin̵a","dʲudsoon","dʲahsoonko",,,,,,,,,,"háám̵ira",,,,"ahítʲo",,,"kováátso, (tree: cováája)",,"tuvóólla, tuvóódʲo","toxooja",,"hudsóón",,"tʲafúúdʲo",,"háám̵ira",,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Nɨpode Huitoto hux (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nonó-kï",,"kaní-da",,,"ó.ogodo",,,"huǰéko",,,,,,,,,,"hibí.e","há.ikï-na",,,,,,,,"úna.o",,,,,,,"né.egoï",,,,,,"béǰa","húhï {tuber}, húti {plant}","ma.íka(hï)",,,,,,,,,,,,,,"hípi-hï",,,,"repí-hï",,"dï.ó-na",,,,,,,"hakái-kï {plant}, hakái-huï {tuber}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Nɨpode Huitoto hux (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nonó-kɯ",,"kaní-da",,,"ó.ogodo",,,"hudʒéko",,,,,,,,,,"hibí.e","há.ikɯ-na",,,,,,,,"úna.o",,,,,,,"né.egoɯ",,,,,,"bédʒa","húhɯ {tuber}, húti {plant}","ma.íka(hɯ)",,,,,,,,,,,,,,"hípi-hɯ",,,,"repí-hɯ",,"dɯ.ó-na",,,,,,,"hakái-kɯ {plant}, hakái-huɯ {tuber}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Mɨnɨca Huitoto hto (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nonó-kï",,"kaní-kaï",,,"ó.ogodo",,,"emókï, huǰéko, ǰeθé-gï",,,,,,,,,,"hí.ibi.e","há.ikï.e",,,,,,,,"úna.o",,,,,,,"óɸego-ǰï",,,,,,"béǰa","húhï {tuber}, húθi {plant}","má.ika(hï)",,,,,,,,,,,,,,"híɸi-hï {fruit}, híɸi-rai {plant}",,,,"reɸí-hï",,"dï.ó-na, ǰéra",,,,,,,"hakái-θairai {plant}, hakái-hï {tuber}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Mɨnɨca Huitoto hto (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nonó-kɯ",,"kaní-kaɯ",,,"ó.ogodo",,,"emókɯ, hudʒéko, dʒeθé-gɯ",,,,,,,,,,"hí.ibi.e","há.ikɯ.e",,,,,,,,"úna.o",,,,,,,"óɸego-dʒɯ",,,,,,"bédʒa","húhɯ {tuber}, húθi {plant}","má.ika(hɯɯ)",,,,,,,,,,,,,,"híɸi-hɯ {fruit}, híɸi-rai {plant}",,,,"reɸí-hɯ",,"dɯ.ó-na, dʒéra",,,,,,,"hakái-θairai {plant}, hakái-hɯ {tuber}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bora-Witoto","Murui Huitoto huu (asch)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","nono-kï",,"θïkï-kaï",,,"o.ogodo",,,"emokï",,,,,,,,,,"hi.ibe","haikï.e",,,,,,,,"una.o",,,,,,,"oɸego-ǰï",,,,,,"beǰa","huhï {tuber}, huθi.e {plant}","ma.ika",,,,,,,,,,,,,,"hiɸi-hï {fruit}, hiɸi-rai {plant}",,,,"reɸi-hï",,"dï.o-na",,,,,,,"hakai-hï",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
