,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Bora-Witoto","Muinane bmr (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","ɸáttɨ",,,"búúa, ígáíβatɨ",,"generic ant: ɸíimo","góóɨ","kíkíxe","nɨ́ɨ́bɨri, mɨ́ɨbɨriʔɨ (possible Tukano loan??)",,,,,"méeni",,,"níiβɨ-gai {red}, xííbai {white}","xɨ́kku {see jaguar/puma}",,,,,"táaβa",,"xɨ́ɨ́ku-gai","xééxɨ, túúxe",,,,"íyu","ɸááibe, rúúbédʒɨ","mááñáʔu, xúútʃáíʔi {chameleon}","xɨ́kku {same as puma/dog}","mííʃi {Spanish}",,,,,"ɸéékaxe","xɨ́bíídʒaxe",,"nimɨ́-tɨ́ɨ́ʔe","tákkɨ","gáañiʔu","xéeβa, ínóʔai, ééréda",,"gíiɸo {field mouse}, bíítʃtʃaɨ {house mouse}",,,"súkku","βááú, márúúku, búru","kɨ́ɨ́rába, {many more}",,"ɸááɸaiba","gáíkku-xe, nítta",,,"gíʔiɸo",,"generic fly: gíinixa",,,"xíinimo, íttɨ {small snake}","rattlesnake: táakaʔo {sabanera}",,,"tɨ́ɨʔe","mɨ́dʒɨ́gíyɨ, máʔarɨ, táabano","xúʔúpúku","nɨ́go, xɨ́ɨ́kkɨgai, rɨ́ʔúúʔu, bárʲígai","áñɨ, súkkuga",,"kɨ́gáʔo",,,,,,,,,,,,,,,,,"xɨ́siku","ɸáaga-xe, xɨ́ɨ́múʔai, ííkkuxe",,,"xakúkúga, bɨ́ɨ́riʔi, níxaga, mɨ́ɨ́méba, xáákkɨba, βaúra",,,,,,,,,,,
"Bora-Witoto","Ocaina oca (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington. (entered by Leslie Smith)","ɸḯḯtʸo, mõõno",,,"toxóóʔyo",,"generic ant: am̵õõxo","ñṍṍn̵õ","nõõï̃, nõã́ã́ʔɸiʔtʸa","dʸoʔḯḯrako",,,,,"nan̵ṍṍpa",,,"ïïxo, xooʔtʸo {small}","hõʔxo {see jaguar}",,,,,"ĩhããm̵a",,"oróóβïtʸo","hĩ́ããko, hõõʔã",,,,"not given","ɸaʔtííʔtʸo","mááñ̵aʔo {borr. From Bora?}","hõʔxo {same as dog}, čiβaβááña","not given",,,,,"ánhfiityo","oorï",,"ñṍṍm̵a","axaaño","oʔɸóóxako","ɸaaro {blue}, kḯḯram̵a {red}",,"tsóraaxo","jáátitso, fayivoñaco, moñáxatyo",,"hitóóro","mṍṍn̵õhõ","káyooho, čõĩĩɸi, eere, tʸóóra, man̵ááñi, tsãĩĩko",,"hã́ã́čoβa","dʸoʔyooʔxo",,,"mïñṍṍko",,"generic fly: ã́ã́beko","joohfíra",,"anï̃ʔtʸṍko, gõhṍṍʔĩʔtsi, tʸorooʔo","rattlesnake: namaañi",,,"tʸõõhã","ohï̃ï̃, ohï̃xoʔ","mañ̵iiʔxo {water}","ñoxaaʔčo, ǰíooβï","ï̃ï̃nóóčo",,"xóódzoho",,,,,,,,,,,,,,,,,"cáánhxo","oorï","bohtáñ̈i, úvaaxo","joyaaco","gokóóho, tʸooro, opépeko, ïïra",,,,,,,,,,,
"Bora-Witoto","Ocaina oca (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington. (entered by Leslie Smith)","ɸɯ́ɯ́tʲo, mõõno",,,"toxóóʔjo",,"generic ant: am̵õõxo","ñṍṍn̵õ","nõõɯ̃, nõã́ã́ʔɸiʔtʲa","dʲoʔɯ́ɯ́rako",,,,,"nan̵ṍṍpa",,,"ɯɯxo, xooʔtʲo {small}","hõʔxo {see jaguar}",,,,,"ĩhããm̵a",,"oróóβɯtʲo","hĩ́ããko, hõõʔã",,,,"not given","ɸaʔtííʔtʲo","mááñ̵aʔo {borr. From Bora?}","hõʔxo {same as dog}, tʃiβaβááña","not given",,,,,"ánhfiitʲo","oorɯ",,"ñṍṍm̵a","axaaño","oʔɸóóxako","ɸaaro {blue}, kɯ́ɯ́ram̵a {red}",,"tsóraaxo","háátitso, fajivoɲaco, moɲáxatʲo",,"hitóóro","mṍṍn̵õhõ","kájooho, tʃõĩĩɸi, eere, tʲóóra, man̵ááñi, tsãĩĩko",,"hã́ã́tʃoβa","dʲoʔjooʔxo",,,"mɯñṍṍko",,"generic fly: ã́ã́beko","hoohfíra",,"anɯ̃ʔtʲṍko, gõhṍṍʔĩʔtsi, tʲorooʔo","rattlesnake: namaañi",,,"tʲõõhã","ohɯ̃ɯ̃, ohɯ̃xoʔ","mañ̵iiʔxo {water}","ñoxaaʔtʃo, dʒíooβï","ɯ̃ɯ̃nóótʃo",,"xóódzoho",,,,,,,,,,,,,,,,,"káánhxo","oorɯ","bohtáɲ̵i, úvaaxo","hojaako","gokóóho, tʲooro, opépeko, ɯɯra",,,,,,,,,,,
"Bora-Witoto","Ocaina oca (orthographic) (Leach)","Leach, Ilo M. 1969. Vocabulario ocaina. ILV-SLP 4. http://www.sil.org/americas/peru/html/pubs/show_work.asp?id=559 (entered by Leslie Smith)",,,"jonhóónm̈a",,,,,,,"toxóóhyo","dyóóncho; moxoovahtsíco",,"tíaanhxo",,"ñamúúnhxohtyo","chichího (several others listed)",,,"dsam̈óón̈unma","am̈áánu","ñiihbo","am̈unhñ̈o",,,,,"jumoonxo","mááxañ̈o, nóónhso, báácoa, téntso","ñámuunhñ̈o",,,,,,"ñijíínxo","dyafííhtya","noonxo","juuhtyo",,,"an̈antyahóhfo",,,,,,,,,,,,,,,"jinhñ̈ááhso, jovádyuna",,,,,,"jogaaho",,,,"cajíínco, tsihtsihfííco",,,,,,"on̈uum̈a",,"ícooro (possible loan from Tukano??), tóónma ícooro, jidyotyo, con̈óójunco",,"túroojo",,,"xoonhño","juvááuxo","bóóxon̈oco, viríítiho","bovúxotya, cucaracha {Spanish}","ohxóóroco","fohxáánco, tohtohííco","bihtsíírico","atóónmojonh, dsoruhyóhco, joxóóvuco, ñon̈oonja, uhtyódyunaco","capiiyi","dyuróóvuhyo","ahxaahcho",,,,,,,,,,,,,,,,
"Bora-Witoto","Ocaina oca (phonemic) (Leach","Leach, Ilo M. 1969. Vocabulario ocaina. ILV-SLP 4. http://www.sil.org/americas/peru/html/pubs/show_work.asp?id=559 (entered by Leslie Smith)",,,"honhóónm̵a",,,,,,,"toxóóhʲo","dʸóóntʃo, moxoovatsíko",,"tíaanhxo",,"ɲamúúnhxohtʲo","tʃitʃího (several others listed)",,,"dsam̵óón̵unma","am̵áánu","ɲiihbo","am̵uhɲ̵o",,,,,"humoonxo","mááxaɲ̵o, nóónhso, báácoa, téntso","ɲámuuhɲ̵o",,,,,,"ɲixíínxo","dʲafííhtʲa","noonxo","huuhtʲo",,,"an̵antʲahóhfo",,,,,,,,,,,,,,,"hihɲ̵ááhso, hovádʲuna",,,,,,"hogaaho",,,,"kahíínko, tsihtsihfííko",,,,,,"on̵uum̵a",,"íkooro (possible loan from Tukano??), tóónma íkooro, hidʲotʲo, kon̵óóhunko",,"túrooho",,,"xoonhɲo","huvááuxo","bóóxon̵oko, viríítiho","bovúxotʲa, kukaratʃa {Spanish}","ohxóóroko","fohxáánko, tohtohííko","bihtsííriko","atóónmohonh, dsoruhʲóhko, hoxóóvuko, ñon̵oonha, uhtʲódʲunako","kapiiji","dʲuróóvuhʲo","ahxaahtʃo",,,,,,,,,,,,,,,,
"Bora-Witoto","Nɨpode Huitoto hux (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mḯgui, okáina",,,"nú.io",,"generic ant: rakḯŋo","ñenḯŋo","ǰḯni","hiráŋo",,,,,"méro",,,"kḯɗo","hḯko",,,,,"čámu",,"païrádo","eréño, dobóǰi",,,,"í.u","pitído","kúema","hánaǰari, hḯko {same as cat}","míči, hḯko",,,,,"múido","tíǰo, mé.eku",,"meréhaiño","ḯme","ïbóma","áβa",,"má.u",,,"ïpó.e","durída","ui.ḯkï, úi.ï",,"e.ímo","térobeño",,,"miñḯ.e",,"generic fly: ïníkï",,,"hái.o, iβána","rattlesnake: nonórai",,,"turúma","karáŋo, káraï {pl}, ígïdaŋo","uiǰóniño, meníño","nokáido","íno",,"ǰó.oda",,,,,,,,,,,,,,,,,,"hébekïŋo, ǰútu",,,"gúku, akáiño, nopáïŋo, héro",,,,,,,,,,,
"Bora-Witoto","Nɨpode Huitoto hux (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mɯ́gui, okáina",,,"nú.io",,"generic ant: rakɯ́ŋo","ñenɯ́ŋo","dʒɯ́ni","hiráŋo",,,,,"méro",,,"kɯ́ɗo","hɯ́ko",,,,,"tʃámu",,"paɯrádo","eréño, dobódʒi",,,,"í.u","pitído","kúema","hánadʒari, hɯ́ko {same as cat}","mítʃi, hɯ́ko",,,,,"múido","tídʒo, mé.eku",,"meréhaiño","ɯ́me","ɯbóma","áβa",,"má.u",,,"ɯpó.e","durída","ui.ɯ́kɯ, úi.ɯ",,"e.ímo","térobeño",,,"miñɯ́.e",,"generic fly: ɯníkɯ",,,"hái.o, iβána","rattlesnake: nonórai",,,"turúma","karáŋo, káraɯ {pl}, ígɯdaŋo","uidʒóniño, meníño","nokáido","íno",,"dʒó.oda",,,,,,,,,,,,,,,,,,"hébekɯŋo, dʒútu",,,"gúku, akáiño, nopáɯŋo, héro",,,,,,,,,,,
"Bora-Witoto","Mɨnɨca Huitoto hto (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mḯgui, ɸḯ.ïdo, okáina",,,"nú.io",,"generic ant: rakḯŋo","ñenḯŋo","ǰḯni","hiráŋo",,,,,"méro",,,"kḯto","hḯko",,,,,"ǰḯkï.aï, čámu",,"ɸaïrádo","eréño",,,,"í.u","ɸiθído","kúema","hánaǰari, hḯko {same as cat}","míči, hḯko",,,,,"múido","néhoma",,"meréhaiño, ɸeréhaiño","ḯme","ïbóma","éɸa",,"nonóči, nónoiči",,,"ïɸú.e","turída, búru","ui.ḯkï",,"e.ímo","ïmḯŋo",,,"miñḯ.e",,"generic fly: ïníkï",,,"hái.o","rattlesnake: nonórai",,,"θurúma","karákïŋo, ígïdakïŋo","ɸúrikï, meníño","nokáido","íno",,"ǰó.oda, hó.oda, égui, múido",,,,,,,,,,,,,,,,,,"hébekïŋo",,,"gúaïkï, noɸáïŋo, héro",,,,,,,,,,,
"Bora-Witoto","Mɨnɨca Huitoto hto (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mɯ́gui, ɸɯ́.ɯdo, okáina",,,"nú.io",,"generic ant: rakɯ́ŋo","ñenɯ́ŋo","dʒɯ́ni","hiráŋo",,,,,"méro",,,"kɯ́to","hɯ́ko",,,,,"dʒɯ́kɯ.aɯ, tʃámu",,"ɸaɯrádo","eréño",,,,"í.u","ɸiθído","kúema","hánadʒari, hɯ́ko {same as cat}","mítʃi, hɯ́ko",,,,,"múido","néhoma",,"meréhaiño, ɸeréhaiño","ɯ́me","ɯbóma","éɸa",,"nonótʃi, nónoitʃi",,,"ɯɸú.e","turída, búru","ui.ɯ́kɯ",,"e.ímo","ɯmɯ́ŋo",,,"miñɯ́.e",,"generic fly: ɯníkɯ",,,"hái.o","rattlesnake: nonórai",,,"θurúma","karákɯŋo, ígɯdakɯŋo","ɸúrikɯ, meníño","nokáido","íno",,"dʒó.oda, hó.oda, égui, múido",,,,,,,,,,,,,,,,,,"hébekɯŋo",,,"gúaɯkɯ, noɸáɯŋo, héro",,,,,,,,,,,
"Bora-Witoto","Murui Huitoto huu (orthographic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mïgui, ɸïdo, okaina",,,"nu.i.o",,"generic ant: rakïño","ñenïño","ǰïni(θï), hïdokuiño","hirakïño",,,,,"mero",,,"kïto","hïko",,,,,"ǰïkï.aï",,"ɸaïrada, ɸaïrado","ereño",,,,"i.u","ɸiθido","kuema","hanaǰari, hïko {ocelot}","miči {Spanish}",,,,,"muidokaï","guamï",,"ɸerehaiño","ïme","ïboma","eɸa",,"okohï",,,"ïɸu.e","monuiθï","θarokï",,"e.imo","ïmïño",,,"miñï.e",,"generic fly: ïnikï",,,"hai.o","rattlesnake: raïdï {matches Muinane Huitoto 'coral snake'}",,,"θuruma, hïgadïma","karakïño, igïdïkïño","meniño","nokaido","ino",,"muidokaï",,,,,,,,,,,,,,,,,,"hebekïño",,,"noɸaïño, herokï",,,,,,,,,,,
"Bora-Witoto","Murui Huitoto huu (phonemic)","Aschmann, R. P. 1993.  Proto Witotoan, SIL and University of Texas at Arlington Publications in Linguistics, 114. Dallas: SIL and University of Texas at Arlington.  (entered by Leslie Smith)","mɯgui, ɸɯdo, okaina",,,"nu.i.o",,"generic ant: rakɯño","ñenɯño","dʒɯni(θɯ), hɯdokuiño","hirakɯño",,,,,"mero",,,"kɯto","hɯko",,,,,"dʒɯkɯ.aɯ",,"ɸaɯrada, ɸaɯrado","ereño",,,,"i.u","ɸiθido","kuema","hanadʒari, hɯko {ocelot}","mitʃi {Spanish}",,,,,"muidokaï","guamɯ",,"ɸerehaiño","ɯme","ɯboma","eɸa",,"okohɯ",,,"ɯɸu.e","monuiθɯ","θarokɯ",,"e.imo","ɯmɯño",,,"miñɯ.e",,"generic fly: ɯnikɯ",,,"hai.o","rattlesnake: raɯdɯ {matches Muinane Huitoto 'coral snake'}",,,"θuruma, hɯgadɯma","karakɯño, igɯdɯkɯño","meniño","nokaido","ino",,"muidokaɯ",,,,,,,,,,,,,,,,,,"hebekɯño",,,"noɸaɯño, herokɯ",,,,,,,,,,,
"Unclassified","Puinave (orthographic)","Mario Girón Higuita. 2008. Una gramática del wã⁄nsöjöt (Puinave).LOT, Utrecht.","bo´",,,,,,"tuʔ","tin",,,,,,,,"hiu",,"iot","iot pik (iot=perro; pik=black)",,,,"iɤi",,,,"soikak","huʔ",,,"pƜi","namãnã","iotnan",,,,,,,"uatnuk","ian",,,,,,"mãt","wansihan",,"yeu","kõn","sɤm","kaua",,,,"nõieʔ",,,"sak","iãn",,"sɤp",,,,"iap","ton",,,,"ʔãt","tƜ","iãp",,,"suʔ",,"sõm",,,"iutanak",,"i.ti",,,"kŭi",,,"sɤk",,,,"
","
",,,,,,,,,,
"Unclassified","Puinave (phonemic)","Daniel","poʔ",,,,,,"tuʔ","tin",,,,,,,,"hiu",,"iot","iot pík",,,,"iɤi",,,,"soikak","huʔ",,,"pƜi","namãnã","iotnan",,,,,,,"uatnuk","ian",,,,,,"mãt","uansihan",,"ieu","kõn","sɤm","kaua",,,,"nõieʔ",,,"sak","ɲãn",,"sɤp",,,,"iap","ton",,,,"ʔãt","tƜ","ɲãp",,,"suʔ",,"sõm",,,"iutanak",,"iti",,,"kŭi",,,"sɤk",,,,"
","
",,,,,,,,,,
"Unclassified","Puinave pui (orthographic) (IDS)",,,,"hamna; wou",,,"generic ant: hui",,"tin","am",,,"generic monkey: bu",,,,,"som","yot",,"generic dolphin: moya","patu",,"yəi",,"dɨk",,"generic monkey: bu","hu",,,,,,,,,,,,"generic monkey: bu",,,,"tɨ",,,"mat","wan-si-han",,,"wu","səm",,,,,,,,"pɨt; sak",,"generic lizard: wisan","generic snake: sə̃p","generic snake: sə̃p",,,,,"turtle: yuk",,"winik","dəm",,,,,,,"sõm","habi",,"yutadak",,"iti",,,,,"sək (=snail)","sək (=scorpion)","yun; watduk","iwin",,"frog: kim",,,,,,,,,,,
"Unclassified","Puinave pui (phonemic) (IDS)",,,,"hamna; wou",,,"generic ant: hui",,"tin","am",,,"generic monkey: bu",,,,,"som","jot",,"generic dolphin: moja","patu",,"jəi",,"dɨk",,"generic monkey: bu","hu",,,,,,,,,,,,"generic monkey: bu",,,,"tɨ",,,"mat","wan-si-han",,,"wu","səm",,,,,,,,"pɨt; sak",,"generic lizard: wisan","generic snake: sə̃p","generic snake: sə̃p",,,,,"turtle: juk",,"winik","dəm",,,,,,,"sõm","habi",,"jutadak",,"iti",,,,,"sək (=snail)","sək (=scorpion)","jun; watduk","iwin",,"frog: kim",,,,,,,,,,,
"Tucanoan","Cubeo (cub) (NM) phonemic","Morse, Nancy L., Jay K. Salser and Neva Salser, compilers. 1999. Diccionario ilustrado bilingüe: cubeo—español español—cubeo. Bogotá: Editorial Alberto Lleras Camargo. v, 495 p.
http://www.sil.org/americas/colombia/pubs/abstract.asp?id=40337
","ɣʉbʉkakɔ","buɨ",,,,,"pãmulɨ, ɣɛvɛbɔ, ɣiapãmulʉ, pãmubɔlidʉ, pialápãmulʉ, pɔ̃ɛpamulrʉ","ɔðɔlʉ (término genérico), kũiɔðɔlʉ, mɛaɔðɔlʉ","ãlalabɔ, kãinɛ́bɔ (carpenter), mumidʉ (honey bee, genral term), bialɔkʉ, ɣivɛmumidʉ, mumibɔlidʉ, mumiɣualidʉ, mumiñɛminidʉ, vákɔɛmabɔ. ",,"kaɣɛdɔkʉ (general term), bɔbɔtɔmɔkʉ, kaɔkʉ, kũabɛɣɔlʉakʉ, dɔbikʉ, ɣĩ́miakʉ,ɣɔkʉkʉ, ɣʉ̃mɛkukʉ, ɣʉ̃mɛdʉkʉ, ɲɛmikaɣɛdɔkʉ, ɔkɔmiaðakʉ, pɔ̃ɣakʉ, kɛdavitʃikʉ, úbɔakʉ, vɛ́dakʉ, japɛtʃimukʉ","takɛ","tʃiaidɨ, ɨɣɨjɔlɔlɨ","vã́li (general term), vã́liɣɛɣɛ","paipi","muɣuɲɔkɔ (generic term), kalaðɔ, paðɛdikɔ, tʉkʉlʉkɔ, jɔlɔkɔ","ɲamakɔ, dáɲamakɔ, ɲamaɣuakɔ, ɲamaɣɨmɛkɔ, vɛakavɛkɔ","javimi",,,"pátu (generic term), makaɣitapatu,  vã́lali (pato agujan),  bɛdɛbɔ (pato granden), ãibɛdɛɣĩkʉ (pato pequeñon).","buɛ, pulaki","mɔakʉ (generic term), búpiɣĩkʉ, búpijɔ, kuitɔ́tɛkalʉ, eɛ̃talɔkɔ, ɣiatʉlavakacʉ, mamʉlʉmɔakʉ, ɔkɔlʉmɔakʉ, pɔ̃ɛɣiapalidʉ","ɔpɛ","tubakɨ","miɛ, miɣakɨ","kapalɔ","míjavi, catama, ĩɛiɛbɨ, ɨ̃lɔbɔ, tɔavɛ, takɛmijavi, kɨlapilɛbɨ, kavavidi",,"vaɔ, ɛ̃mu","mimijɔ","dúpu (generic term), katʃiva, tʃãmaidupu, ɛ̃̃padupu, tɔavalidɔakʉ","javi","bʉkʉjavi, valiju","tãitʉ́lʉ","ɣimidʉ, mamʉɣimidʉ, javiɣimidʉ, jɛ́kaɣimidʉ","kãtamabɔ, kʉlamukulibɔ, dálãpialibɔ, numaabulidʉ","bɛtakaɣaimɛ, ɣaiɣɔmɛ, ɣaimɛ, ɣaiɲɛmikʉ","muɣaðɔkalʉ, numavɛabɔlʉ, vɛabɔlʉ","kuatá (Spider Monkey)",,,"ɣɛmɛbɔ","kʉ̃́kʉ",,,"bɛibɔ (generic term), ɛ̃mubɛibɔ, ɛ̃tabɛibɔ",,"ɣiaðavi","tʉmi","pupuli (generic term),bulukutukʉ","vɛkɔ, vɛkɔbɔ (loro burrón), ɛ̃́̃́ɣia (loro de cabeza de gavilán), tulɛɔ́lʉ (loro guaro, loro real), kʉpɛvɛkɔ (loro verde)","ãkabɔ (gallineta)",,"muɲubɔ, tãtʃimuɲulʉ",,"ábiɣɔkɔ",,"jai","tãitɛ́bɔ (fly, generic)","ɣulãlɔ","bʉ́jɔkɔ (término genérico), kɔ̃ɣabʉjɔkɔ",,,,"butʃitʉ̃lɔlʉ, ɣʉ̃ɣɔlʉ","vɛkʉ","bɔkɔmikʉ (generic term), abuɣucʉñʉabɔ, adamabɔkɔmikʉ, kũavikʉ, ɣɔbɔkululebɔkɔmikʉ, ɣupibɔkɔmikʉ, ɣʉbʉkabɔkɔmikʉ, mamʉbɔkɔmikʉ, miɛbɔkɔmikʉ, vaibɔkɔmikʉ, javibɔkɔmikʉ. vʉ́jɔkʉ (comején alado, generic term), adamabɔkɔmivʉjɔkʉ (comején alado), kũavivʉjɔkʉ (comején alado), ɣupibɔkɔmivʉjokʉ (comején alado), ɣʉbʉkabɔkɔmivʉjɔkʉ (comején alado), mamʉbɔkɔmivʉjɔkʉ (comején alado), miɛbɔkɔmivʉjɔkʉ (comején alado), vaibɔkɔmivʉjɔkʉ (comején alado), javibɔkɔmivʉjɔkʉ (comején alado)","kũʉbɔ (generic term), iɣikũʉbɔ, ɣiakũʉbɔ, tɛ́pakũʉbɔ, ʉ̃lɛkuʉbɔ, jaðakũʉbɔ.","ɣɔɛvɛ (generic term)","kava","utʃikʉ (generic term), abuɣubiakakʉ, bɛɣɔkʉ, bɔbɔlɔkʉ, kãlikautʃikʉ, kãlaɣʉmɛutʃikʉ, tʃĩɔrɔkautʃikʉ, dainamiutʃikʉ, dáutʃikʉ, diɲʉutʃikʉ, ɛ̃pamuutʃikʉ, ɣɛ̃mɛutʃikʉ, ɣʉbʉkautʃikʉ, malukuutʃikʉ, mɔmautʃikʉ, ɲɛnɛnɛkʉ, pãmuutʃikʉ, pɛnabakʉ, pialáutʃikʉ, pupuliutʃikʉ, pʉɛkuluutʃikʉ, takakautʃikʉ, utʃiɣãmɛkʉ, újalalɔkʉ, vaʉvákʉ, vɛkʉkʉbɔbautʃikʉ, vʉjautʃikʉ, vʉ́yɔɣalalɔbʉ, japikũmuutʃikʉ, jɔkamɛakʉ, ɣɔbɔutʃikʉ (avispa chinatan)",,,"ɣiaðavi, tʉmi",,"takɛ (mico capuchino)","vekɔlɔɲuikɔ (garrapatero), ɲuikɔ (garrapatero común, garraptero hervidor)","kakʉ (generic term), bɔlikũkʉ, kɔlɔkũkʉ, ɣúkʉ, ṹmʉkakũkʉ","tatalɔkɔ (generic term), avinatatalɔkɔ, bɔlitatalɔkɔ, buʉtatalɔkɔ, ɣiakãlatatalɔkɔ, ɣímiatatalɔkɔ, ɣɔlɔbɔðatatalɔkɔ, makatatalɔkɔ, mákatatalɔkɔ, pákɔlɔtatalɔkɔ, pṹɔtatalɔkɔ, pṹɔtualɔtatalɔkɔ, tɛ́patatalɔkɔ, vã́litatalɔkɔ, vɛkʉtatalɔkɔ, jɔkatatalɔkɔ, abuɣutatalɔkɔ (mariposa diablo negro), bʉbɛbɔ (mariposa nocturna)","avimɛkʉ, kɔ̃liálʉ","mɔmalɔvɛkɔ","kãmidʉ (freshwater, generic term), dɔkʉkãmidʉ, makakãmidʉ, nɛikamidʉ, takɛkãmidʉ","ɣulɛkɔ (generic term), ɣulitukɔ (paloma colorada), ɣiaðavitavalʉakɔ (paloma morada), muɣaɣulɛkɔ (paloma perdiz cara roja), ɣulɛbɔkɔ (paloma pipa, paloma turca)","ũmɛnaɣɔkʉ",,"ɲapalɔkʉ, utuvɛ","bʉbɛbɔ","muli","kavalʉ","pṹpʉbɔ (generic term), ãkabɔ, bɔabɛ́ɣɛvʉ, kuidɔ́pṹpʉbɔ, ɔ̃pɔlʉ, ɔ̃pɔjabɛ, taijɔ, tãupʉpʉbɔ (araña del sol), mɔapʉpʉbɔ (araña pescador)","pãlamɛbɔ (with stinger)","kɔ̃ðɔɣɔbɔ (generic term), bɛikɔ̃ðɔɣɔbɔ, tɛ̃umakɔðɔɣɔbɔ, vɛkʉkɔ̃ðɔɣɔbɔ","bʉbʉkɔ (generic term), kṹlabʉbʉkɔ, ãtʃibʉbʉkɔ (sapo gigante)",,,,,"
",,,,,,
